Gene Symbol,Gene Name, Mutated Tumor Samples,Classification,Core pathway,Process
ABL1,"c-abl oncogene 1, receptor tyrosine kinase",851,Oncogene,Cell Cycle/Apoptosis,Cell Survival
ACVR1B,"activin A receptor, type IB",17,TSG,TGF-b ,Cell Survival
AKT1,v-akt murine thymoma viral oncogene homolog 1,155,Oncogene,PI3K,Cell Survival
ALK,anaplastic lymphoma receptor tyrosine kinase,189,Oncogene,PI3K; RAS,Cell Survival
APC,adenomatous polyposis coli,2561,TSG,APC,Cell Fate
AR,androgen receptor,23,Oncogene,Transcriptional Regulation,Cell Fate
ARID1A,AT rich interactive domain 1A (SWI-like),234,TSG,Chromatin Modification,Cell Fate
ARID1B,AT rich interactive domain 1B (SWI1-like),17,TSG,Chromatin Modification,Cell Fate
ARID2,"AT rich interactive domain 2 (ARID, RFX-like)",45,TSG,Chromatin Modification,Cell Fate
ASXL1,additional sex combs like 1 (Drosophila),442,TSG,Chromatin Modification,Cell Fate
ATM,"similar to Serine-protein kinase ATM (Ataxia telangiectasia mutated) (A-T, mutated); ataxia telangiectasia mutated",242,TSG,DNA Damage Control,Genome Maintenance
ATRX,"alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)",50,TSG,Chromatin Modification,Cell Fate
AXIN1,axin 1,117,TSG,APC,Cell Fate
B2M,beta-2-microglobulin,30,TSG,PI3K; RAS; MAPK,Cell Survival
BAP1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),99,TSG,DNA Damage Control,Genome Maintenance
BCL2,B-cell CLL/lymphoma 2,45,Oncogene,Cell Cycle/Apoptosis,Cell Survival
BCOR,BCL6 co-repressor,21,TSG,Transcriptional Regulation,Cell Fate
BRAF,v-raf murine sarcoma viral oncogene homolog B1,24288,Oncogene,RAS,Cell Survival
BRCA1,"breast cancer 1, early onset",62,TSG,DNA Damage Control,Genome Maintenance
BRCA2,"breast cancer 2, early onset",67,TSG,DNA Damage Control,Genome Maintenance
CARD11,"caspase recruitment domain family, member 11",74,Oncogene,Cell Cycle/Apoptosis,Cell Survival
CASP8,"caspase 8, apoptosis-related cysteine peptidase",21,TSG,Cell Cycle/Apoptosis,Cell Survival
CBL,Cas-Br-M (murine) ecotropic retroviral transforming sequence,168,Oncogene,PI3K; RAS,Cell Survival
CDC73,"cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",45,TSG,Cell Cycle/Apoptosis,Cell Survival
CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",200,TSG,APC,Cell Fate
CDKN2A,"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)",968,TSG,Cell Cycle/Apoptosis,Cell Survival
CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",448,TSG,PI3K; RAS; MAPK,Cell Survival
CIC,capicua homolog (Drosophila),47,TSG,RAS,Cell Survival
CREBBP,CREB binding protein,151,TSG,Chromatin Modification; Transcriptional Regulation,Cell Fate
CRLF2,cytokine receptor-like factor 2,10,Oncogene,STAT,Cell Survival
CSF1R,colony stimulating factor 1 receptor,48,Oncogene,PI3K; RAS,Cell Survival
CTNNB1,"catenin (cadherin-associated protein), beta 1, 88kDa",3262,Oncogene,APC,Cell Fate
CYLD,cylindromatosis (turban tumor syndrome),26,TSG,Cell Cycle/Apoptosis,Cell Survival
DAXX,death-domain associated protein,28,TSG,Chromatin Modification; Cell Cycle/Apoptosis,Cell Fate
DNMT1,DNA (cytosine-5-)-methyltransferase 1,22,Oncogene,Chromatin Modification,Cell Fate
DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,788,Oncogene,Chromatin Modification,Cell Fate
EGFR,"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)",10628,Oncogene,PI3K; RAS,Cell Survival
EP300,E1A binding protein p300,88,TSG,Chromatin Modification; APC; TGF-b; NOTCH,Cell Survival/Fate
ERBB2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",164,Oncogene,PI3K; RAS,Cell Survival
EZH2,enhancer of zeste homolog 2 (Drosophila),276,Oncogene,Chromatin Modification,Cell Fate
FAM123B,family with sequence similarity 123B,55,TSG,APC,Cell Fate
FBXW7,F-box and WD repeat domain containing 7,312,TSG,NOTCH,Cell Fate
FGFR2,fibroblast growth factor receptor 2,121,Oncogene,PI3K; RAS ; STAT,Cell Survival
FGFR3,fibroblast growth factor receptor 3,2948,Oncogene,PI3K; RAS ; STAT,Cell Survival
FLT3,fms-related tyrosine kinase 3,11520,Oncogene,RAS; PI3K; STAT,Cell Survival
FOXL2,forkhead box L2,330,Oncogene,TGF-b ,Cell Fate
FUBP1,far upstream element (FUSE) binding protein 1,9,TSG,Cell Cycle/Apoptosis,Cell Survival
GATA1,GATA binding protein 1 (globin transcription factor 1),203,TSG,"NOTCH, TGF-b ",Cell Fate
GATA2,GATA binding protein 2,45,Oncogene,"NOTCH, TGF-b ",Cell Fate
GATA3,GATA binding protein 3,33,TSG,Transcriptional Regulation,Cell Fate
GNA11,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)",110,Oncogene,PI3K; RAS; MAPK,Cell Survival
GNAQ,"guanine nucleotide binding protein (G protein), q polypeptide",245,Oncogene,PI3K;RAS; MAPK,Cell Survival
GNAS,GNAS complex locus,422,Oncogene,"APC; PI3K; TGF-b, RAS",Cell Survival/Cell Fate
H3F3A,"H3 histone, family 3B (H3.3B); H3 histone, family 3A pseudogene; H3 histone, family 3A; similar to H3 histone, family 3B; similar to histone H3.3B",122,Oncogene,Chromatin Modification,Cell Fate
HIST1H3B,"histone cluster 1, H3j; histone cluster 1, H3i; histone cluster 1, H3h; histone cluster 1, H3g; histone cluster 1, H3f; histone cluster 1, H3e; histone cluster 1, H3d; histone cluster 1, H3c; histone cluster 1, H3b; histone cluster 1, H3a; histone cluster 1, H2ad; histone cluster 2, H3a; histone cluster 2, H3c; histone cluster 2, H3d",25,Oncogene,Chromatin Modification,Cell Fate
HNF1A,HNF1 homeobox A,126,TSG,APC,Cell Fate
HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,812,Oncogene,RAS,Cell Survival
IDH1,"isocitrate dehydrogenase 1 (NADP+), soluble",4509,Oncogene,Chromatin Modification,Cell Fate
IDH2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",1029,Oncogene,Chromatin Modification,Cell Fate
JAK1,Janus kinase 1,61,Oncogene,STAT,Cell Survival
JAK2,Janus kinase 2,32692,Oncogene,STAT,Cell Survival
JAK3,Janus kinase 3,89,Oncogene,STAT,Cell Survival
KDM5C,lysine (K)-specific demethylase 5C,26,TSG,Chromatin Modification,Cell Fate
KDM6A,lysine (K)-specific demethylase 6A,66,TSG,Chromatin Modification,Cell Fate
KIT,similar to Mast/stem cell growth factor receptor precursor (SCFR) (Proto-oncogene tyrosine-protein kinase Kit) (c-kit) (CD117 antigen); v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,4720,Oncogene,PI3K; RAS; STAT,Cell Survival
KLF4,Kruppel-like factor 4,61,Oncogene,Transcriptional Regulation; WNT,Cell Fate
KRAS,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,23261,Oncogene,RAS,Cell Survival
