Source,Target,References(PMID)
AATF,BAX,22909821
AATF,CDKN1A,17157788
AATF,KLK3,23146908
AATF,MYC,20549547
AATF,TP53,17157788
ABL1,BAX,11753601
ABL1,BCL2,11753601
ABL1,BCL6,15509806
ABL1,CCND2,15509806
ABL1,CDKN1A,11753601;9916993
ABL1,CSF1,23418320
ABL1,CSF1,18619508
ABL1,FOXO3,15509806
ABL1,JUN,15145216
ABL1,JUN,19357699
ABL1,PIM1,15145216
ABL1,TP53,11753601
AES,EPHA3,20676368
AES,LEF1,20676368
AES,RND3,23546594
AHR,ABCG2,20460431
AHR,AHRR,18848529
AHR,ARNT,19255421;8631989
AHR,BRCA1,18259752
AHR,CA9,19154183
AHR,CCND1,24380854
AHR,CCNG2,22596188
AHR,CYP1A1,12213390;9865727
AHR,CYP1A1,17012224
AHR,CYP1A1,10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073
AHR,CYP1A2,21357676
AHR,CYP1B1,16115918;19287966
AHR,CYP1B1,12376470;19376845;21742528;24299737
AHR,CYP2B6,19928584
AHR,FOS,10478842
AHR,IL13,22981205
AHR,IL1B,23349129
AHR,IL6,20511231
AHR,IL6,18483242;23349129
AHR,MFSD2A,21736709
AHR,MT2A,23994556
AHR,MYC,11114727;16091746
AHR,PCNA,12417031
AHR,RFC3,12417031
AHR,UGT1A1,18172616
AHR,UGT1A6,9466822
AIP,AHR,11469723
AIP,GREB1,21984905
AIP,NFKB2,21984905
AIP,RSF1,21984905
AIP,TFF1,21984905
AIRE,CHRNA1,17687331
ANKRD1,NPPA,18273862
APBB1,GMPS,21453247
APC,AKT1,15888491
APC,AMHR2,12724325
APC,BIRC5,11751382
APC,DLG1,21858148
APC,DNMT1,12538344
APC,F8,12010799
APC,KLF4,12387883
APC,MYC,16510874
APC,NOS2,11935128
APC,ODC1,12112318
APC,PTGS2,10772828;12566320
APC,PTGS2,11396184
APC,SGK1,18487207
APEX1,CCL2,17045925
APEX1,CD19,10666449
APEX1,CYP11B2,22652909
APEX1,NFKB1,17045925
APEX1,PTH,14633989
APEX1,RELA,17045925
APEX1,SLC5A5,14630715
AR,ACTA1,15623502
AR,AKR1C3,22971343
AR,AKT1,11278645
AR,AKT1,20589722
AR,ALDH1A3,17526768
AR,ARG1,20711410
AR,ARG2,20711410
AR,ATAD2,22771493
AR,BSG,14633669
AR,BTG1,16281084
AR,BTG2,16281084
AR,CDK20,21747169
AR,CDC6,24583551
AR,CDC6,18541154
AR,CDH1,18794357
AR,CDH11,20191612
AR,CDH2,17297473;18535113
AR,CDK20,21747169
AR,CDK6,15790678
AR,CDKN1A,10076995
AR,CDKN1A,16281084
AR,CLK3,16281084
AR,CRH,16446741
AR,CRISP1,11223178
AR,CRISP3,11223178
AR,CTNNB1,18535113
AR,CYP7B1,16630558
AR,EGFR,11556855;21613411
AR,ELK4,18469865
AR,EP300,22334658
AR,ERBB2,21613411
AR,ERBB2,21741601
AR,ERBB3,21741601
AR,ETV1,19789348
AR,FKBP4,23192983
AR,FN1,21055159
AR,FOLH1,12539223
AR,FOXA1,12750453
AR,GNMT,23997240
AR,GREB1,16496412
AR,GTF2F1,9238003
AR,HMMR,18174258
AR,HMOX1,11965035
AR,IFI16,16494870
AR,IGF1R,15033751;17202144
AR,IGFBP3,23859805
AR,JUN,20148354
AR,KISS1,18331266
AR,KISS1R,18331266
AR,KLF5,19460858
AR,KLK1,11532861
AR,KLK2,11532861;16751804;20688158;9241247
AR,KLK3,10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436
AR,KLK3,16342680;9316650
AR,KLK3,11059779;11238180;11532861;12376473;12539223;12648523;12651911;15368351;15543614;15557561;15640095;17011549;17075604;17094454;17426252;17433535;18780293;18829551;19274665;21308712;21981678;22245379;22473899;23884959;24307657;7514587;9052414;9211894
AR,KLK4,12539223
AR,MED1,17483314
AR,MID1,24913494
AR,MUC1,21308711
AR,MYC,24512546
AR,NAT1,17210686
AR,NDRG1,17075604
AR,NFKB1,18386814
AR,NKX3-1,16697957;17303007
AR,NKX3-1,11238180
AR,NOV,23318417
AR,NRAS,16281084
AR,PC,18497079
AR,PSCA,23330817
AR,PEBP1,23095933
AR,PIGR,11171058
AR,PIP,21809344
AR,PMEPA1,17075604;18703514
AR,PNRC1,10894149
AR,KLK3,24937452
AR,PTEN,23418309
AR,PTEN,20729295;21532617
AR,PTGS2,18386814
AR,PTPN1,22282656
AR,RELA,18386814
AR,REST,24163104
AR,7-Sep,16281084
AR,SERPINB5,16304843
AR,SESN1,16751804
AR,SRD5A3,22194926
AR,STIM1,21432868
AR,TBP,9238003
AR,TCF7L2,12799378
AR,TGFA,11556855
AR,TH,16356647
AR,TJP1,18535113
AR,TMPRSS2,20308527;21761340
AR,TMPRSS2,23192983
AR,TRPS1,15613454
AR,TSC1,21036700
AR,TSC2,21036700
AR,UCN,23801677
AR,UGT2B15,18302198
AR,USP26,20501646
AR,VEGFA,16007189
AR,VEGFA,23369005
AR,VIM,18535113
AR,WEE1,16281084
AR,WNT7B,21741601
AR,XIAP,20589722
ARID1A,CDKN1A,21900401
ARID1A,IGH,18981111
ARID1A,SMAD3,21900401
ARID1B,IGH,18981111
ARID3A,CDC6,23659165
ARID3A,CDK1,23659165
ARID3A,CR2,19487031
ARID3A,E2F1,23659165
ARID3A,PML,22010578
ARID3A,RBL1,23659165
ARNT,AHR,18540824
ARNT,BHLHE40,12354771
ARNT,BRCA1,16567799
ARNT,CA9,22387692
ARNT,CCNE1,21544813
ARNT,CDK2,21544813
ARNT,CTSD,9611253
ARNT,CYP1A1,22387692
ARNT,CYP1A1,12376470;19255421;19376845;8631128
ARNT,CYP1B1,16115918;19287966
ARNT,CYP1B1,12376470;19255421;19376845;21742528;24299737
ARNT,EGLN2,15178343
ARNT,EPO,8663540
